,WB_No,Year,Month,District,Ward,Village,subvillage,site.name,water.body._type,water.body.name,CorrectedWBName,Longitude..E.,Attitude..m.,water_level,season,snail_present,number_snails_collected,snail_size.1.3mm.,X.4.6mm.,X.7.9mm.,X.10.12mm.,X.13.15mm.,X.16.18mm.,X.19.21mm.,X..21mm.,infe_snail,Date.of.1st.Sheding.att., ,Date,Exp_schisto,X.1.3mm.,X.4.6mm..1,X.7.9mm..1,X.10.12mm..1,X.13.15mm..1,X.16.18mm..1,X.19.21mm..1,X..21mm..1,Total..VE
1,1,2020,November,Misungwi,Ukirigulu,Nyang'holongo,Madelelya,kwa Madelelya site 4,pond,Kisima cha Madelelya site 4,Madelelya Site 4,033 ͦ01.027΄,1180,Low,Rainy,Bulinus,5,0,0,0,1,2,2,0,0,0,13-Nov-20,16/11/2020,12-Nov-20,,0,0,0,0,0,0,0,0,0
2,2,2020,November,Misungwi,Ukirigulu,Nyang'holongo,Madelelya,kwa Madelelya site 3,Pond,Kisima cha Madelelya site 3,Madelelya Site 3,033 ͦ01.051΄,1181,Normal,Rainy,"Bulinus,Lymneae anf Ceratophallus",54,0,0,0,4,15,35,0,0,0,13-Nov-20,16/11/2020,12-Nov-20,,0,0,0,0,0,0,0,0,0
3,3,2020,November,Misungwi,Ukirigulu,Nyang'holongo,Madelelya,kwa Madelelya site 2,pond,Kisima cha Madelelya site 2,Madelelya Site 2,033 ͦ01.078΄,1178,Normal,Rainy,Bulinus,64,0,0,0,56,8,0,0,0,0,13-Nov-20,16/11/2020,12-Nov-20,,0,0,0,0,0,0,0,0,0
4,4,2020,November,Misungwi,Ukirigulu,Nyang'holongo,Madelelya,kwa Fumu,pond,Kisima cha kwa Fumu,Kwa Fumu,033 ͦ01.447΄,1191,Normal,Rainy,Bulinus,1,0,0,0,0,0,1,0,0,0,13-Nov-20,16/11/2020,12-Nov-20,,0,0,0,0,0,0,0,0,0
5,5,2020,December,Misungwi,Ukirigulu,Nyamikoma,Nyamanji,Kwa hilindi,pond,Kisima cha hilindi,Kisima Cha Hilindi,033 ͦ04.550',1193,Normal,Rainy,Bulinus and Pila,70,0,0,2,21,43,4,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
6,6,2020,December,Misungwi,Ukirigulu,Nyamikoma,Nyamikoma A,Kwa wishi,pond,Kisima cha wishi,Kisima cha Wishi,033 ͦ03.491',1187,Normal,Rainy,Bulinus and Pila,25,0,0,5,6,12,2,0,0,0,18-Dec-20,20/12/2020,17-Dec-20,,0,0,0,0,0,0,0,0,0
7,7,2020,November,Misungwi,Ukirigulu,Mwagala,Mwagala,Kwa magunga,pond,Kisima cha mwagala kwa magunga site 2,Kisima cha Mwagala kwa Magunga Site 2,033 ͦ03.127΄,1234,Normal,Rainy,Bulinus and Pila,3,0,0,0,0,3,0,0,0,0,24-Nov-20,27/11/2020,23-Nov-20,,0,0,0,0,0,0,0,0,0
8,8,2020,December,Misungwi,Shilalo,Ng'obo,Mwanzuki,Kwa dome,Dam,Lambo la dome,Lambo la Dome,033 ͦ00.767',1209,Normal,Rainy,Bulinus,27,0,0,0,18,7,2,0,0,0,10-Dec-20,12/12/20,9-Dec-20,,0,0,0,0,0,0,0,0,0
9,9,2020,December,Misungwi,Shilalo,Ng'obo,Mwanzuki,kwa Ng'wanamaguha,Dam,Lambo la Ng'wanamaguha,Lambo la Ng'wanamaguha,033 ͦ00.625',1220,Normal,Rainy,Bulinus and Lymneae,33,0,0,0,0,31,2,0,0,0,10-Dec-20,12/12/20,9-Dec-20,,0,0,0,0,0,0,0,0,0
10,10,2020,December,Misungwi,Shilalo,Ng'obo,Ng'wankali,Kwa maguha,Dam,Lambo la maguha,Lambo la Maguha,033 ͦ03.083',1213,Normal,Rainy,Bulinus,54,0,0,0,0,5,49,0,0,0,10-Dec-20,12/12/20,9-Dec-20,,0,0,0,0,0,0,0,0,0
