Year,Month,District,Ward,Village,Subvillage,Site.name,Waterbody,CorrectedWBName,Date,water.body_Type,Long_dimension..M.,Perp.dimension..M.,Water_level,Season,Time_in,Time_out,Snail_present,livestock_present,Snail_genus_collected,Number_of.Bulinus_collected,Number.of.Infected.snails
2021,July,Busega,Badugu,Badugu,Mwang'halanga,Kisima cha Mwang'halanga,Kisima cha Mwang'halanga,Kisima cha Mwang'halanga,18-Jul-21,"Pond, Temporary",127,185,Normal,Dry,10:12,10:27,"Bulinus,Pila.","Cow, Feces.",Bulinus,80,0
2021,July,Busega,Badugu,Badugu,Lusanga,Lambo la Batalliani,Lambo la Batalliani,Lambo la Batalliani,18-Jul-21,"Pond, Permanent",102,147,Normal,Dry,9:40,9:55,Bulinus.,"Cow.sheep.feces, Dogs,Goat",Bulinus,23,0
2021,July,Busega,Badugu,Badugu,Mwang'halanga, Mwang'halanga,Lambo la Mwang'halanga,Lambo la Mwang'halanga,18-Jul-21,"Pond, Temporary",57,109,Normal,Dry,10:45,11:00,None,Feces,None,0,0
2021,June,Misungwi ,Bulemeji,Buganda,Buganda,Kisima cha Mwandimanya,Kisima cha Mwandimanya,Kisima cha Mwandimanya,8-Jun-21,"Pond, Permanent",18,31,Normal,Dry,13:28,13:43,"Bulinus, pila",None,None,14,0
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu A,Kisima cha kwa Elias,Kisima cha kwa Elias,Kisima cha kwa Elias,8-Jun-21,"Pond, Temporary",11.5,18.6,Normal,Dry,12:43,12:58,Bulinus,None,Bulinus,1,0
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu A,Kisima cha Kwa Goru,Kisima cha Kwa Goru,Kisima cha kwa Goru,8-Jun-21,"Pond, Temporary",9.4,15,Normal,Dry,12:25,12:40,"Bulinus, pila","Cow, Sheep,Dogs, Feces.",Bulinus,11,0
2021,June,Misungwi ,Bulemeji,Buganda,Ijijawenda A,Kisima cha Kwa Ng'wambohyo Site 2,Kisima cha Kwa Ng'wambohyo,Kisima cha kwa Ng'wambohyo Site 2,9-Jun-21,"Pond, Temporary",22.4,30.8,Normal,Dry,12:13,12:28,Bulinus,None,Bulinus,48,0
2021,June,Misungwi ,Bulemeji,Buganda,Ijijawenda A,Kisima cha Ng'wamapocho,Kisima cha Ng'wamapocho,Kisima cha Ng'wamapocho,9-Jun-21,"Pond, Temporary",15,27,Normal,Dry,12:19,12:34,Bulinus,None,Bulinus,1,0
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu A,kisima cha nhwabuye,kisima cha nhwabuye,Kisima cha Ng'wabuye,8-Jun-21,"Pond, Temporary",10.2,16.2,Normal,Dry,11:41,11:56,"Bulinus, Pila, Lymneae",None,Bulinus,18,0
2021,June,Misungwi ,Bulemeji,Buganda,Nyamijundu  B,Kwa Kajoba site 2,Kwa kajoba site 2,Kwa Kajoba Site 2,8-Jun-21,"Pond, Temporary",13,15.1,Normal,Dry,10:51,11:06,Pila,None,None,0,0
