District_Waterbody,Permanence
Misungwi_Lambo la Kigala,Temporary
Misungwi_Lambo la kwa Makongoro,Temporary
Misungwi_Mtoni kwa Mashauri,Permanent
Misungwi_Kwa Kajoba Site 2,Temporary
Misungwi_Kwa Zebedayo,Temporary
Misungwi_Kwa Ndeke,Temporary
Misungwi_Kwa Nghandikija,Temporary
Misungwi_Kwa Kajoba Site 1,Temporary
Misungwi_Kwa Bangaya,Temporary
Misungwi_Kwa Nelson Nundi site 2,Temporary
Misungwi_kwa Ramadhani Shigemelo,Temporary
Misungwi_Kwa Nelson Nundi site 1,Temporary
Misungwi_kwa Enosi Ihega,Temporary
Misungwi_Lambo la kwa Nundu,Permanent
Misungwi_Kwa lugwisha Mazaga,Temporary
Misungwi_kwa Sostenes Emannuel,Temporary
Misungwi_Kwa Simon James,Temporary
Misungwi_Lambo la Mwelela,Temporary
Misungwi_kisima cha Mwelela,Permanent
Misungwi_Kwa Felician,Temporary
Misungwi_Kisima cha Isadukilo,Temporary
Misungwi_Lambo la Manyara,Permanent
Misungwi_kisima cha Sila,Temporary
Misungwi_Lambo la Ng'wiza,Permanent
Misungwi_Lambo la Hangaya,Permanent
Misungwi_Lambo la Ilinde kwa Lugonda,Permanent
Misungwi_Kisima cha kwa Luhalamla,Permanent
Misungwi_Kisima cha Suleya,Temporary
Misungwi_Kisima cha Suswa,Temporary
Misungwi_Kisima cha Mwalyanda,Permanent
Misungwi_Lambo la Ng'wamanonga,Permanent
Misungwi_Bwawa la Galaya,Permanent
Misungwi_Lambo la Ng'wagundula,Temporary
Misungwi_Lambo la Buchama,Permanent
Misungwi_Lambo la Ng'wamaduka,Temporary
Misungwi_Lambo la Ilende 2,Permanent
Misungwi_Kisima cha Ng'waluge,Temporary
Misungwi_kisima cha Ng'wamasune,Permanent
Misungwi_Lambo la Ng'wamakale,Temporary
Misungwi_Lambo la Buyola,Temporary
Misungwi_Kisima cha Ng'wanyilila,Temporary
Misungwi_Kisima cha Ibhingo,Temporary
Misungwi_Lambo la Mlyomi,Permanent
Misungwi_Lambo la Njegele,Permanent
Misungwi_Kisima cha Kuli,Permanent
Misungwi_Kisima cha kwa Maganga,Temporary
Misungwi_Kisimani kwa Nyasato,Temporary
Misungwi_Lambo la Gatuba,Temporary
Misungwi_Lambo la Ng'wamakole(Ng'wamakomelo),Temporary
Misungwi_Kisima cha Luvogo,Permanent
Misungwi_Kisima cha Ng'waya,Permanent
Misungwi_Kisima cha Magigo,Temporary
Misungwi_Lambo la Maneno,Temporary
Misungwi_Bwawa la TASAF,Permanent
Misungwi_Lambo la Idubya,Temporary
Misungwi_Lambo la Nkola,Permanent
Misungwi_Lambo la Lyaja Mbuzunga,Permanent
Misungwi_Kisima cha Mwanalugata,Permanent
Misungwi_Lambo la Paulo Nghong'o,Permanent
Misungwi_Mto wa Marko Mchimwa,Permanent
Misungwi_Kisima cha Nyanda Yanyecha,Permanent
Misungwi_Lambo la Mzee Kasibu Mpuya,Permanent
Misungwi_Mto Chanzo,Permanent
Misungwi_Kisima cha Madaha,Temporary
Misungwi_Kisima cha Mbiti,Temporary
Misungwi_Kisima cha Ng'wandomele Kaswahili,Temporary
Misungwi_Lambo la Mhana,Temporary
Misungwi_Kisima cha Garani,Temporary
Misungwi_Kisima cha Nkando,Temporary
Misungwi_Lambo la Ng'wamhabi,Temporary
Misungwi_Lambo la Ng'wandomele Kaswahili,Temporary
Misungwi_Kisima cha Peter,Temporary
Magu_Kisima cha Nkina,Temporary
Magu_Lambo la Nkilijiwa,Permanent
Magu_Lambo la Sholi,Temporary
Magu_Kwa Ng'wabukwimba,Permanent
Magu_Kisima cha Ntubi Site 2,Temporary
Magu_Kisima cha Ntubi,Permanent
Magu_Kisima cha Ng'wagalani,Permanent
Magu_Lambo la Ng'wang'homba,Temporary
Magu_Kisima cha Makelanhyiwa,Temporary
Magu_Lambo la Njimya,Permanent
Magu_Lambo la kwa Maja,Temporary
Magu_Lambo la kwa Nhambu,Temporary
Magu_kisima cha Mwamabeshi,Temporary
Magu_Kwa Mayala Chandaluba,Temporary
Magu_Lambo la Shoka Bukelebe,Temporary
Magu_Lambo la Mpogolo,Temporary
Magu_Kisima cha Mwamaleba,Temporary
Magu_Lambo la Nkola,Temporary
Magu_Kisima cha Ng'wamanungu,Temporary
Busega_Lambo la Mwangimu,Permanent
Busega_Lambo la Wachina,Permanent
Magu_Lambo la Ng'wamgingili,Temporary
Magu_Lambo la Ngado,Temporary
Magu_Kisima cha Shimula Masalu,Temporary
Magu_Lambo la Ng'wabamba,Temporary
Magu_Lambo la Mayala Kamanija,Temporary
Magu_Lambo la Yulisi Mbandi,Temporary
Magu_Kisima cha John Kayoka,Temporary
Magu_Lambo la Lung'wecha,Temporary
Magu_Kisima cha kwa Bagi,Temporary
Magu_Kisima kwa Ntungwa,Temporary
Magu_Kisima cha kwa Sinzo,Temporary
Magu_Lambo la Mganga Marasta,Temporary
Magu_Lambo la James,Temporary
Magu_Lambo la Mzee Kanyelema Nkululo,Permanent
Magu_Kisima/Lambo la Mwanzuli,Temporary
Magu_Kisima cha Dundo,Temporary
Magu_Kisima cha Mwashilabi,Temporary
Magu_Kisima cha Mwakalogi,Temporary
Magu_Kisima cha kwa Abdallah,Temporary
Magu_Kisima cha kwa Sogoni,Temporary
Magu_Lambo la Shule,Temporary
Magu_Lambo la kwa Shahani,Temporary
Magu_Lambo la Shule ya Msingi,Temporary
Busega_Lambo la Mwanza,Temporary
Busega_Lambo la Ng'wamahela,Temporary
Busega_Bwawa la Pastory Petro,Temporary
Busega_Mto Nyang'humbi Site 2,Temporary
Busega_Lambo la Mwajombo,Temporary
Busega_Lambo la Dilanda,Temporary
Busega_Kisima cha Dutwa,Permanent
Busega_Kisima cha Samweli Mahangila,Temporary
Busega_Lambo la Balihali,Temporary
Busega_Kisima cha Doto Pendo,Temporary
Busega_Lambo la Mwabasabi,Temporary
Busega_Kisima cha Tito,Temporary
Busega_Lambo la Mbugani,Temporary
Busega_Kisima cha Mwamasebu,Temporary
Busega_Lambo la Kibanio,Temporary
Busega_Lambo la Joseph Bucheyeki,Temporary
Busega_Kisima cha Ng'wasalamba,Temporary
Busega_Kisima cha kwa Lukanula,Temporary
Busega_Kisima cha kwa Koya,Temporary
Busega_Lambo la kwa Juma Madilisha Site 2,Temporary
Busega_Kisima Ng'walenga,Permanent
Busega_Kisima cha Mwamalongo,Temporary
Busega_Lambo la Mwamalongo,Temporary
Busega_Lambo la Shule,Temporary
Busega_Lambo la Ng'wanoni,Temporary
Busega_Kisima cha Mwang'halanga,Temporary
Busega_Lambo la Batalliani,Permanent
Busega_Lambo la Mwang'halanga,Temporary
Magu_Lambo la Mashiku Majinga,Temporary
Magu_Lambo la Sospeter Wangano,Temporary
Busega_Lambo la kwa Ndonya,Temporary
Busega_Kisima cha kwa Makeje,Temporary
Busega_Kisima cha Ng'wamashoka,Temporary
Busega_Lambo la Mathiasi,Temporary
Busega_Lambo la Chem Flora,Temporary
Busega_Kisima cha Sengo,Temporary
Busega_Lambo la Mnyamimigi,Temporary
Busega_Lambo la Beyamugi,Temporary
Busega_Lambo la Bukelebe,Temporary
Busega_Lambo la Madaraka,Temporary
Busega_Lambo la Mwanagolola,Temporary
Busega_Kisima cha Nyunjiwa,Temporary
Busega_Mto Lunala,Permanent
Busega_Mto wa Makuyuda Isamilo,Temporary
Busega_Kisima cha Ng'wandilanha,Temporary
Busega_Kisima cha Mwamkinga,Temporary
Busega_Lambo la Apolinari,Temporary
Busega_Kisima cha Sima Mayala,Temporary
Busega_Lambo la John Ndugwa,Temporary
Busega_Lambo la Nzagamba,Temporary
Busega_Lambo la kwa Mbili,Temporary
Busega_Kisima cha Maswigilo,Temporary
Busega_Kisima cha Ng'wansongoma,Permanent
Busega_Kisima cha Shule ya Msingi Mwamagulu,Temporary
Kishapu_Bwawa la Mhumbu,Permanent
Kishapu_Lambo la kwa Weja Site 2,Temporary
Kishapu_Lambo la kwa Weja Site 1,Temporary
Kishapu_Lambo la kwa Njile Jifungo Site 2,Temporary
Kishapu_Lambo la kwa Njile Jifungo Site 1,Temporary
Kishapu_Lambo la kwa Lucas Emmanuel,Temporary
Kishapu_Lambo la Madilo Sahani,Temporary
Kishapu_Mfereji wa Rafael Tinde,Temporary
Kishapu_Lambo la Luduka Magobo,Temporary
Kishapu_Lambo la Rafael Tinde,Temporary
Kwimba_Lambo la kwa John,Temporary
Kwimba_Lambo la Kwenye Ndimu,Temporary
Kwimba_Kisima cha kwa Kefa,Temporary
Kwimba_Bwawa la Ibindo Tallo,Permanent
Kwimba_Kisima cha Manyallila,Temporary
Kwimba_Lambo la kwa Nyanda,Temporary
Kwimba_Lambo la Makologa,Temporary
Kwimba_Lambo la Malulu,Temporary
Kwimba_Lambo la kwa Ngeni,Temporary
Kwimba_Lambo la Igolola,Temporary
Kwimba_Lambo la Nkono Gwantemi,Temporary
Kwimba_Lambo la Machibula,Temporary
Kwimba_Lambo la kwa Mkindiko,Temporary
Kwimba_Lambo la Mwashi,Temporary
Kwimba_Lambo la Wakandarasi-Kimiza A,Temporary
Kwimba_Lambo la Wakandarasi-Mwanyahinga,Temporary
Kwimba_Lambo la Maliganya Machiya,Temporary
Kwimba_Lambo la Maguha kwa Kasimu Mbushi,Permanent
Kwimba_Lambo la Maguha kwa Nkubamange,Permanent
Kwimba_Lambo la Chamalendi,Permanent
Kwimba_Bwawa la Umwagiliaji,Permanent
Magu_Lambo la Mwabulilo Site 1,Temporary
Magu_Lambo la Mwabulilo Site 2,Temporary
Magu_Lambo la Rwanda,Temporary
Magu_Lambo la Joseph Mayunga,Temporary
Magu_Kisima cha Kibimbila,Temporary
Magu_Kisima cha Burundi/Nojaminzi,Temporary
Magu_Kisima cha Mwakabizo,Temporary
Magu_Kisima cha Mwabalogi,Temporary
Magu_Kisima/Lambo kwa Masigani,Permanent
Magu_Lambo la Ngumo,Permanent
