"","Phase","District_Waterbody","LatToUse","LongToUse"
"1",3,"Misungwi_Bwawa la Galaya",-2.64464998245239,33.1622009277344
"2",3,"Kwimba_Bwawa la Ibindo Iseni",-2.79783344268799,33.465950012207
"3",3,"Kwimba_Bwawa la Ibindo Tallo",-2.81445002555847,33.4471664428711
"4",3,"Kishapu_Bwawa la Mhumbu",-3.49609994888306,33.5211982727051
"5",3,"Busega_Bwawa la Pastory Petro",-2.29565000534058,33.7565002441406
"6",1,"Misungwi_Bwawa la TASAF",-2.85343337059021,33.2744178771973
"7",3,"Kwimba_Bwawa la Umwagiliaji",-3.02158331871033,33.363883972168
"8",3,"Magu_Kasimu cha Idete",-2.70040011405945,33.5030174255371
"9",3,"Misungwi_Kisima/Lambo la Ibogo",-2.77626657485962,33.1091003417969
"10",3,"Misungwi_Kisima cha Mwandimanya",-2.74898338317871,33.0001831054688
"11",3,"Magu_Kisima cha Bohe Mke",-2.61863327026367,33.4297676086426
"12",3,"Sengerema_Kisima cha Bufalo",-2.55641674995422,32.7355003356934
"13",3,"Magu_Kisima cha Bulambu",-2.65030002593994,33.3489151000977
"14",3,"Magu_Kisima cha Burundi/Nojaminzi",-2.65108323097229,33.5012664794922
"15",3,"Sengerema_Kisima cha Busekwanoni",-2.72856664657593,32.8540344238281
"16",3,"Misungwi_Kisima cha Bustani Hesawa",-2.69665002822876,33.1694488525391
"17",3,"Misungwi_Kisima cha Buzengo",-3.12033343315125,33.0766334533691
"18",3,"Magu_Kisima cha Dundo",-2.7420666217804,33.7144012451172
"19",1,"Misungwi_Kisima cha Ng'wamawa",-2.73554992675781,33.0140647888184
"20",3,"Misungwi_Kisima cha Garani",-2.71948337554932,32.9903335571289
"21",3,"Misungwi_Kisima cha Goyi",-2.71671676635742,33.1874656677246
"22",3,"Busega_Kisima cha Hamisi",-2.3659999370575,33.7619819641113
"23",3,"Misungwi_Kisima cha Hehela",-2.82918334007263,33.0752983093262
"24",3,"Misungwi_Kisima cha Huya",-2.68324995040894,33.1641654968262
"25",3,"Busega_Kisima cha Ibengo",-2.4556667804718,33.6452331542969
"26",3,"Misungwi_Kisima cha Ibhingo",-2.66973328590393,33.0976181030273
"27",3,"Sengerema_Kisima cha Igogo",-2.552649974823,32.6842498779297
"28",1,"Misungwi_Kisima cha Isadukilo",-2.73081660270691,32.9993667602539
"29",3,"Misungwi_Kisima cha Itoba",-2.71586656570435,33.1958847045898
"30",3,"Sengerema_Kisima cha James Yamliga",-2.57911658287048,32.7159843444824
"31",3,"Sengerema_Kisima cha Jeremia",-2.57456660270691,32.7396507263184
"32",3,"Magu_Kisima cha John Kayoka",-2.68353343009949,33.5079154968262
"33",3,"Misungwi_Kisima cha Juma",-2.64008331298828,33.1086654663086
"34",3,"Busega_Kisima cha Kandalasi",-2.41211676597595,33.7640838623047
"35",3,"Misungwi_Kisima cha Kanisa la AIC",-2.69456672668457,33.1701507568359
"36",3,"Misungwi_Kisima cha Kasekele",-2.82524991035461,33.071533203125
"37",3,"Sengerema_Kisima cha Kasimu Hasani",-2.57301664352417,32.7049331665039
"38",3,"Magu_Kisima cha Kawawa",-2.51576662063599,33.2418670654297
"39",3,"Magu_Kisima cha Kibimbila",-2.65108323097229,33.507999420166
"40",3,"Misungwi_Kisima cha Kigala Mkuyuni",-2.7048499584198,33.1144828796387
"41",3,"Misungwi_Kisima cha Kihamba",-2.65024995803833,33.122932434082
"42",3,"Misungwi_Kisima cha Kuli",-2.6676332950592,33.1291999816895
"43",3,"Magu_Kisima cha kwa Bagi",-2.638516664505,33.4693489074707
"44",3,"Sengerema_Kisima cha kwa Buta",-2.57224988937378,32.6537818908691
"45",3,"Misungwi_Kisima cha kwa Daniel",-2.67356657981873,33.1465148925781
"46",3,"Misungwi_Kisima cha kwa Elias",-2.75226664543152,33.0007514953613
"47",1,"Misungwi_Kisima cha kwa Giri",-2.76751661300659,33.001335144043
"48",3,"Misungwi_Kisima cha kwa Goru",-2.75355005264282,33.0005989074707
"49",3,"Misungwi_Kisima cha kwa Isalu",-2.75248336791992,33.0583648681641
"50",1,"Misungwi_kisima cha kwa Jela",-2.75071668624878,33.0203170776367
"51",3,"Busega_Kisima cha kwa Juma Madilisha",-2.4293167591095,33.7866172790527
"52",3,"Kwimba_Kisima cha kwa Kefa",-2.80138325691223,33.4560317993164
"53",3,"Magu_Kisima cha kwa Kisale",-2.69456672668457,33.4193496704102
"54",3,"Magu_Kisima cha kwa Kitakung'wa",-2.69539999961853,33.4155654907227
"55",3,"Busega_Kisima cha kwa Koya",-2.43670010566711,33.7826347351074
"56",1,"Misungwi_Kisima cha kwa Lufilisha",-2.74329996109009,33.0092658996582
"57",3,"Misungwi_Kisima cha kwa Luhalamla",-2.84069991111755,33.1905670166016
"58",3,"Busega_Kisima cha kwa Lukanula",-2.43630003929138,33.7861175537109
"59",3,"Magu_Kisima cha kwa Lutonja",-2.69586658477783,33.4296684265137
"60",3,"Misungwi_Kisima cha kwa Maganga",-2.68939995765686,33.1567001342773
"61",3,"Busega_Kisima cha kwa Makeje",-2.38298344612122,33.6821670532227
"62",3,"Magu_Kisima cha kwa Makelemo",-2.69186663627625,33.4241333007812
"63",1,"Misungwi_Kisima cha kwa Makongoro",-2.75353336334229,32.9979820251465
"64",3,"Magu_Kisima cha kwa Masesa",-2.53676676750183,33.2374153137207
"65",3,"Misungwi_Kisima cha kwa Mchele",-2.71956658363342,33.1537017822266
"66",3,"Misungwi_Kisima cha kwa Ndege Kadaso",-2.84929990768433,33.1041488647461
"67",1,"Misungwi_kisima cha kwa Ndiganya",-2.74850010871887,33.0211334228516
"68",3,"Misungwi_Kisima cha kwa Ng'wambohyo Site 2",-2.74643325805664,33.0223007202148
"69",1,"Misungwi_Kisima cha kwa Ng'wambohyo Site 1",-2.74600005149841,33.0223655700684
"70",2,"Magu_Kisima cha kwa Ng'wankalo",-2.69720005989075,33.425651550293
"71",3,"Magu_Kisima cha kwa Seleman",-2.69478344917297,33.4255180358887
"72",3,"Magu_Kisima cha kwa Sinzo",-2.65256667137146,33.4728851318359
"73",1,"Misungwi_kisima cha kwa Suka",-2.74830007553101,33.0110015869141
"74",1,"Misungwi_kisima cha kwa Zwanja",-2.74681663513184,33.010066986084
"75",3,"Misungwi_Kisima cha Kwinenge",-2.71633338928223,33.1244506835938
"76",3,"Sengerema_Kisima cha Lazaro Makumiabili",-2.57543325424194,32.7394828796387
"77",3,"Misungwi_Kisima cha Longo",-3.12779998779297,32.9948501586914
"78",3,"Sengerema_Kisima cha Lubinza Budelele",-2.76663327217102,32.8160667419434
"79",3,"Misungwi_Kisima cha Luhala",-2.73443341255188,33.1803169250488
"80",3,"Misungwi_Kisima cha Lutoja",-2.77411675453186,33.0139846801758
"81",3,"Misungwi_Kisima cha Luvogo",-2.63693332672119,33.1139831542969
"82",3,"Misungwi_Kisima cha Madaha",-2.72259998321533,33.0125160217285
"83",3,"Misungwi_Kisima cha Magigo",-2.65926671028137,33.1416664123535
"84",3,"Magu_Kisima cha Makelanhyiwa",-2.66351675987244,33.3912506103516
"85",3,"Misungwi_Kisima cha Makwega",-2.84433341026306,33.1046981811523
"86",3,"Sengerema_Kisima cha Malole Budelel Site 1",-2.7754499912262,32.823299407959
"87",3,"Kwimba_Kisima cha Manyallila",-2.80726671218872,33.4513816833496
"88",1,"Misungwi_kisima cha Manyilizu",-2.81603336334229,33.1002159118652
"89",3,"Misungwi_Kisima cha Mapuli",-2.81988334655762,33.0796012878418
"90",3,"Sengerema_Kisima cha Marco Mabina",-2.57681655883789,32.7249183654785
"91",3,"Misungwi_Kisima cha Mbiti",-2.71880006790161,32.9933662414551
"92",3,"Misungwi_Kisima cha Mganga",-2.83026671409607,33.1943817138672
"93",3,"Sengerema_Kisima cha Milembe Busunzule",-2.55853343009949,32.7193489074707
"94",3,"Magu_Kisima cha Majiyantemi Luhongola",-2.55161666870117,33.2414665222168
